course status	course_dept	course_id	course_time	number_seats	open_seats	course_name	instructor	discussion_time
online	AASP	AASP100	MWF 10:00am 10:50am	35	0	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100	MWF 12:00pm 12:50pm	35	0	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100	TuTh 9:30am 10:45am	35	0	Introduction to African American Studies	Kameron Patterson	
online	AASP	AASP100	TuTh 12:30pm 1:45pm	30	0	Introduction to African American Studies	George Kintiba	
online	AASP	AASP100	TuTh 11:00am 12:15pm	35	0	Introduction to African American Studies	Jason Nichols	
online	AASP	AASP100	TuTh 2:00pm 3:15pm	35	0	Introduction to African American Studies	Jason Nichols	
online	AASP	AASP100	MWF 2:00pm 2:50pm	35	0	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100H	TuTh 12:30pm 1:45pm	5	0	Introduction to African American Studies	George Kintiba	
online	AASP	AASP101	TuTh 11:00am 12:15pm	30	0	Public Policy and the Black Community	Cecily Hardaway	
online	AASP	AASP200	MW 12:00pm 1:15pm	40	1	African Civilization	George Kintiba	
online	AASP	AASP200	TuTh 7:30pm 8:45pm	20	4	African Civilization	George Kintiba	
online	AASP	AASP202	MWF 11:00am 11:50am	35	5	Black Culture in the United States	Renina Jarmon	
online	AASP	AASP202	MWF 1:00pm 1:50pm	35	3	Black Culture in the United States	Renina Jarmon	
online	AASP	AASP202	TuTh 11:00am 12:15pm	35	0	Black Culture in the United States	Robert Choflet	
online	AASP	AASP202	TuTh 2:00pm 3:15pm	35	2	Black Culture in the United States	Robert Choflet	
online	AASP	AASP202H	TuTh 11:00am 12:15pm	8	5	Black Culture in the United States	Robert Choflet	
online	AASP	AASP210	MW 10:00am 11:15am	20	15	Intro to Research Design and Analysis in African American Studies	Angel Dunbar	
online	AASP	AASP298C	TuTh 11:00am 12:15pm	40	2	African-American History to 1865	Christopher Bonner	
online	AASP	AASP298I	MW 11:00am 11:50am	20	9	Special Topics in African American Studies; Introduction to Black Women's Studies	Elsa Barkley Brown	F 10:00am 10:50am
online	AASP	AASP298I	MW 11:00am 11:50am	20	3	Special Topics in African American Studies; Introduction to Black Women's Studies	Elsa Barkley Brown	F 11:00am 11:50am
online	AASP	AASP298L	MWF 12:00pm 12:50pm	30	0	African-American Literature and Culture	Elizabeth Catchmark	
online	AASP	AASP298P	MW 11:00am 12:15pm	20	0	Special Topics in African American Studies; Poverty, Race and African-American Children	Cecily Hardaway	
online	AASP	AASP301	W 6:30pm 9:00pm	24	13	Applied Policy Analysis and the Black Community	Ricco Hall	
online	AASP	AASP310	W 2:00pm 4:30pm	35	29	African Slave Trade	George Kintiba	
online	AASP	AASP313	TuTh 3:30pm 4:45pm	40	2	Black Women in United States History	Elsa Barkley Brown	
online	AASP	AASP386	F 2:00pm 4:30pm	10	7	Experiential Learning	Marshal Washington	
online	AASP	AASP398C	MW 2:00pm 3:15pm	27	0	Selected Topics in the African Diaspora; African American Literature	Julius Fleming	
